Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µ","C_0603_1608Metric",74.1680,-126.3650,0.0000,top
"C2","100n","C_0603_1608Metric",74.1680,-128.2700,180.0000,top
"C3","4.7µ","C_0603_1608Metric",82.4230,-118.1100,90.0000,top
"C4","10µ","C_0603_1608Metric",80.5180,-118.1100,90.0000,top
"C5","100n","C_0603_1608Metric",74.1680,-120.6500,180.0000,top
"C6","1µ","C_0603_1608Metric",82.4230,-127.0000,270.0000,top
"C7","4.7µ","C_0603_1608Metric",80.5180,-127.0000,270.0000,top
"D1","D","D_0603_1608Metric",74.1680,-124.4600,0.0000,top
"F1","500mA","Fuse_0603_1608Metric",74.1680,-122.5550,0.0000,top
"J1","JST","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",67.1830,-122.5550,270.0000,top
"L1","6.8µ/2A","L_Bourns_SRN6045TA",86.6140,-120.1420,270.0000,top
"R1","390k","R_0603_1608Metric",74.1680,-118.7450,180.0000,top
"R2","390k","R_0603_1608Metric",74.1680,-116.8400,0.0000,top
"R3","2k","R_0603_1608Metric",88.1380,-128.3970,0.0000,top
"R4","200k","R_0603_1608Metric",76.7080,-122.5550,90.0000,top
"R5","2.4M","R_0603_1608Metric",76.7080,-118.1100,90.0000,top
"R6","390k","R_0603_1608Metric",78.6130,-118.1100,270.0000,top
"R7","1.1M","R_0603_1608Metric",78.6130,-127.0000,90.0000,top
"R8","200k","R_0603_1608Metric",76.7080,-127.0000,270.0000,top
"U1","MCP73831-2-OT","SOT-23-5",88.1380,-125.7300,90.0000,top
"U2","TPS61090","Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias",80.5180,-122.5550,180.0000,top
