Designator,Value,Mid X,Mid Y,Rotation,Layer
"C1","10µ","74.8030","-104.1400","90.0000","top"
"C2","100n","76.7080","-104.1400","270.0000","top"
"C3","4.7µ","66.5480","-95.8850","180.0000","top"
"C4","10µ","66.5480","-97.7900","180.0000","top"
"C5","100n","69.0880","-104.1400","270.0000","top"
"C6","1µ","75.4380","-95.8850","0.0000","top"
"C7","4.7µ","75.4380","-97.7900","0.0000","top"
"D1","D","72.8980","-104.1400","90.0000","top"
"F1","500mA","70.9930","-104.1400","90.0000","top"
"J1","JST","70.9930","-111.1250","0.0000","top"
"L1","6.8µ/2A","68.5800","-91.6940","0.0000","top"
"R1","390k","67.1830","-104.1400","270.0000","top"
"R2","390k","65.2780","-104.1400","90.0000","top"
"R3","2k","76.8350","-90.1700","90.0000","top"
"R4","200k","70.9930","-101.6000","180.0000","top"
"R5","2.4M","66.5480","-101.6000","180.0000","top"
"R6","390k","66.5480","-99.6950","0.0000","top"
"R7","1.1M","75.4380","-99.6950","180.0000","top"
"R8","200k","75.4380","-101.6000","0.0000","top"
"U1","MCP73831-2-OT","74.1680","-90.1700","0.0000","top"
"U2","TPS61090","70.9930","-97.7900","270.0000","top"
