Designator,Value,Mid X,Mid Y,Rotation,Layer
"C2","1µ","140.9700","-98.4250","270.0000","top"
"C3","100n","140.9700","-104.2035","180.0000","top"
"D1","LED","144.7800","-104.2035","0.0000","top"
"J2","UEXT_Host","144.7800","-76.8350","270.0000","bottom"
"R1","4k7","140.9700","-84.4550","180.0000","top"
"R2","4k7","140.9700","-92.0750","180.0000","top"
"R3","4k7","146.0500","-98.4250","90.0000","top"
"R4","4k7","148.5900","-98.4250","90.0000","top"
"R5","4k7","140.9700","-89.5350","180.0000","top"
"R6","4k7","140.9700","-94.6150","180.0000","top"
"R7","4k7","143.5100","-98.4250","270.0000","top"
"R8","1k","148.5900","-104.2035","0.0000","top"
"R9","4k7","140.9700","-86.9950","0.0000","top"
"SW1","reset","147.3200","-104.2035","0.0000","bottom"
"SW2","user","142.2400","-104.1400","180.0000","bottom"
