Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1µ","C_0603_1608Metric",134.4930,-89.0270,180.0000,top
"C2","1µ","C_0603_1608Metric",148.3360,-93.0910,0.0000,top
"C3","0.1n","C_0603_1608Metric",134.4930,-87.1220,180.0000,top
"C4","100n","C_0603_1608Metric",140.7160,-82.8040,90.0000,top
"C6","100n","C_0603_1608Metric",147.8280,-89.0270,90.0000,top
"C7","1µ","C_0603_1608Metric",123.6725,-82.0420,180.0000,top
"C8","10n","C_0603_1608Metric",149.3520,-89.0270,90.0000,top
"C9","0.1n","C_0603_1608Metric",130.6830,-83.1850,270.0000,top
"C14","1µ","C_0603_1608Metric",149.3520,-85.9790,270.0000,top
"J3","USB_B_Micro","USB_Micro-B_Molex_47346-0001",122.5550,-87.6300,270.0000,top
"J4","Micro_SD_Card_Det","microSD_HC_Molex_104031-0811",126.3650,-87.6300,270.0000,bottom
"Q1","mmbt2222","SOT-23",127.1270,-92.2020,0.0000,top
"Q2","mmbt2222","SOT-23",133.9850,-92.2020,180.0000,top
"R1","10k","R_0603_1608Metric",130.5560,-93.2180,0.0000,top
"R2","10k","R_0603_1608Metric",147.8280,-85.9790,270.0000,top
"R3","10k","R_0603_1608Metric",130.5560,-91.6940,180.0000,top
"R4","10k","R_0603_1608Metric",134.4930,-85.2170,180.0000,top
"U1","ESP32-PICO-D4","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",142.2400,-89.4080,90.0000,top
"U2","AP2112K-3.3","SOT-23-5",127.6350,-83.0580,180.0000,top
"U3","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",129.5400,-87.6300,90.0000,top
