Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Sparkfun_Pro_Micro_3V3","Sparkfun_Pro_Micro","57.1500","-116.8400","0.0000","bottom"
"C11","1µF","C_0603_1608Metric","71.7550","-98.4250","270.0000","top"
"Q1","mmbt2222","SOT-23","60.9600","-97.7900","180.0000","top"
"Q2","mmbt2222","SOT-23","68.5800","-97.7900","0.0000","top"
"R4","12k","R_0603_1608Metric","64.7700","-99.0600","0.0000","top"
"R5","12k","R_0603_1608Metric","64.7700","-97.1550","180.0000","top"
"R6","12k","R_0603_1608Metric","57.7850","-98.4250","270.0000","top"
"R7","12k","R_0603_1608Metric","57.7850","-95.2500","90.0000","top"
"R8","12k","R_0603_1608Metric","71.7550","-95.2500","270.0000","top"
"U2","ESP-12E","ESP-12E","64.7700","-113.6650","180.0000","top"
