Reference, Quantity, Value, Footprint, Datasheet, LCSC#, manf#, Config
A1 ,1,"Sparkfun_Pro_Micro","Module:Sparkfun_Pro_Micro","https://cdn.sparkfun.com/datasheets/Dev/Arduino/Boards/Pro_Micro_v13b.pdf","","","DNP"
C1 C4 ,2,"15p","Capacitor_SMD:C_0402_1005Metric","~","C1548","0402CG150J500NT",""
C12 ,1,"1.2pF","Capacitor_SMD:C_0402_1005Metric","~","C159809","CL05C1R2BB5NNNC",""
C13 C14 ,2,"1nF","Capacitor_SMD:C_0402_1005Metric","~","C1523","0402B102K500NT",""
C15 C18 C9 ,3,"47p","Capacitor_SMD:C_0402_1005Metric","~","C1567","0402CG470J500NT",""
C16 C17 C19 C20 C21 ,5,"100n","Capacitor_SMD:C_0402_1005Metric","~","C1525","CL05B104KO5NNNC",""
C2 ,1,"1.5pF","Capacitor_SMD:C_0402_1005Metric","~","C1552","0402CG1R5C500NT",""
C22 ,1,"1µ","Capacitor_SMD:C_0402_1005Metric","~","C52923","CL05A105KA5NQNC",""
C23 ,1,"10µ","Capacitor_SMD:C_0603_1608Metric","~","C15525","CL05A106MQ5NUNC",""
C24 C10 C11 ,3,"DNP","Capacitor_SMD:C_0402_1005Metric","~"
C25 ,1,"F","Capacitor_SMD:C_0402_1005Metric","~"
C3 ,1,"33pF","Capacitor_SMD:C_0402_1005Metric","~","C1562","0402CG330J500NT",""
C5 ,1,"4.7pF","Capacitor_SMD:C_0402_1005Metric","~","C1569","0402CG4R7C500NT",""
C6 ,1,"3.3pF","Capacitor_SMD:C_0402_1005Metric","~","C1565","0402CG3R3C500NT",""
C7 ,1,"47pF","Capacitor_SMD:C_0402_1005Metric","~","C1567","0402CG470J500NT",""
C8 ,1,"1.8pF","Capacitor_SMD:C_0402_1005Metric","~"
J1 ,1,"SMA","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
J2 ,1,"COAX","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","~"
JP1 ,1,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"33nH","Inductor_SMD:L_0402_1005Metric","~","C87193","HK100533NJ-T",""
L2 L3 ,2,"10nH","Inductor_SMD:L_0402_1005Metric","~","C27147","SDCL1005C10NJTDF",""
L4 ,1,"6.2nH","Inductor_SMD:L_0402_1005Metric","~","C87534","MLG1005S6N2ST000",""
L5 ,1,"0R","Inductor_SMD:L_0402_1005Metric","~","C17168","0402WGF0000TCE",""
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Symbol_6.7x6mm_SilkScreen","~"
R1 ,1,"1k","Resistor_SMD:R_0402_1005Metric","~","C11702","0402WGF1001TCE",""
TP2 ,1,"DIO2","TestPoint:TestPoint_Pad_D1.0mm","~"
TP3 ,1,"DIO3","TestPoint:TestPoint_Pad_D1.0mm","~"
TP4 ,1,"DIO5","TestPoint:TestPoint_Pad_D1.0mm","~"
TP5 TP6 ,2,"TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
U1 ,1,"SX1276","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm","https://www.semtech.com/uploads/documents/DS_SX1276-7-8-9_W_APP_V6.pdf"
U2 ,1,"AS179-92LF","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.skyworksinc.com/uploads/documents/AS179_92LF_200176H.pdf","C83422","AS179-92LF",""
Y1 ,1,"32Mhz","Crystal:Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm","~","C91742","X1E000021016300",""
