Description;Part;References;Value;Qty;lcsc#;mpn;variant
Unpolarized capacitor;C;C12;1.2pF;1;C159809;CL05C1R2BB5NNNC;
Unpolarized capacitor;C;C2;1.5pF;1;C1552;0402CG1R5C500NT;
Unpolarized capacitor;C;C8;1.8pF;1;;;
Unpolarized capacitor;C;C6;3.3pF;1;C1565;0402CG3R3C500NT;
Unpolarized capacitor;C;C5;4.7pF;1;C1569;0402CG4R7C500NT;
Unpolarized capacitor;C;C1;15p;1;C1548;0402CG150J500NT;
Unpolarized capacitor;C;C4;15p;1;C1548;0402CG150J500NT;
Unpolarized capacitor;C;C3;33pF;1;C1562;0402CG330J500NT;
Unpolarized capacitor;C;C15;47p;1;C1567;0402CG470J500NT;
Unpolarized capacitor;C;C18;47p;1;C1567;0402CG470J500NT;
Unpolarized capacitor;C;C7;47pF;1;C1567;0402CG470J500NT;
Unpolarized capacitor;C;C9;47p;1;C1567;0402CG470J500NT;
Unpolarized capacitor;C;C13;1nF;1;C1523;0402B102K500NT;
Unpolarized capacitor;C;C14;1nF;1;C1523;0402B102K500NT;
Unpolarized capacitor;C;C16;100n;1;C1525;CL05B104KO5NNNC;
Unpolarized capacitor;C;C17;100n;1;C1525;CL05B104KO5NNNC;
Unpolarized capacitor;C;C19;100n;1;C1525;CL05B104KO5NNNC;
Unpolarized capacitor;C;C20;100n;1;C1525;CL05B104KO5NNNC;
Unpolarized capacitor;C;C21;100n;1;C1525;CL05B104KO5NNNC;
Unpolarized capacitor;C;C22;1µ;1;C52923;CL05A105KA5NQNC;
Unpolarized capacitor;C;C23;10µ;1;C15525;CL05A106MQ5NUNC;
Unpolarized capacitor;C;C25;F;1;;;
Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x02;J2;COAX;1;;;
Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x02;J1;SMA;1;;;
Solder Jumper, 2-pole, open;SolderJumper_2_Open;JP1;SolderJumper_2_Open;1;;;
Inductor;L;L5;0R;1;C17168;0402WGF0000TCE;
Inductor;L;L4;6.2nH;1;C87534;MLG1005S6N2ST000;
Inductor;L;L2;10nH;1;C27147;SDCL1005C10NJTDF;
Inductor;L;L3;10nH;1;C27147;SDCL1005C10NJTDF;
Inductor;L;L1;33nH;1;C87193;HK100533NJ-T;
Open Hardware logo, small;Logo_Open_Hardware_Small;LOGO1;Logo_Open_Hardware_Small;1;;;
Resistor;R;R1;1k;1;C11702;0402WGF1001TCE;
20 MHz to 4.0 GHz GaAs SPDT Switch, SC-70;AS179-92LF;U2;AS179-92LF;1;C83422;AS179-92LF;
Four pin crystal, GND on pins 2 and 4;Crystal_GND24;Y1;32Mhz;1;C91742;X1E000021016300;
