Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","15p","C_0402_1005Metric",118.1100,-93.9800,90.0000,top
"C2","1.5pF","C_0402_1005Metric",129.5400,-102.2350,0.0000,top
"C3","33pF","C_0402_1005Metric",131.4450,-100.9650,180.0000,top
"C4","15p","C_0402_1005Metric",124.6100,-93.4720,0.0000,top
"C5","4.7pF","C_0402_1005Metric",131.4450,-95.8850,0.0000,top
"C6","3.3pF","C_0402_1005Metric",134.2390,-101.7500,90.0000,top
"C7","47pF","C_0402_1005Metric",133.2230,-101.7500,270.0000,top
"C8","1.8pF","C_0402_1005Metric",133.2230,-96.5200,90.0000,top
"C9","47p","C_0402_1005Metric",136.5250,-99.5450,90.0000,top
"C12","1.2pF","C_0402_1005Metric",131.4450,-97.1550,180.0000,top
"C13","1nF","C_0402_1005Metric",136.5250,-101.7500,270.0000,top
"C14","1nF","C_0402_1005Metric",134.2390,-96.5200,90.0000,top
"C15","47p","C_0402_1005Metric",129.5400,-98.9330,0.0000,top
"C16","100n","C_0402_1005Metric",129.5400,-97.7900,180.0000,top
"C17","100n","C_0402_1005Metric",119.8650,-102.2350,0.0000,top
"C18","47p","C_0402_1005Metric",126.3650,-94.6150,0.0000,top
"C19","100n","C_0402_1005Metric",126.3650,-95.8850,180.0000,top
"C20","100n","C_0402_1005Metric",124.4600,-95.2500,90.0000,top
"C21","100n","C_0402_1005Metric",128.2700,-95.2500,90.0000,top
"C22","1µ","C_0402_1005Metric",119.8650,-103.5050,180.0000,top
"C23","10µ","C_0603_1608Metric",120.1675,-104.7750,180.0000,top
"C25","F","C_0402_1005Metric",129.5400,-99.9490,0.0000,top
"J1","SMA","U.FL_Hirose_U.FL-R-SMT-1_Vertical",141.4050,-99.0600,0.0000,top
"J2","COAX","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",141.4050,-99.0600,0.0000,top
"L1","33nH","L_0402_1005Metric",129.5400,-100.9650,180.0000,top
"L2","10nH","L_0402_1005Metric",131.4450,-99.6950,180.0000,top
"L3","10nH","L_0402_1005Metric",131.4450,-102.2350,0.0000,top
"L4","6.2nH","L_0402_1005Metric",131.4450,-98.4250,0.0000,top
"L5","0R","L_0402_1005Metric",137.7950,-99.5450,90.0000,top
"R1","1k","R_0402_1005Metric",135.2550,-101.7500,90.0000,top
"U1","SX1276","QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm",124.4600,-100.3300,180.0000,top
"U2","AS179-92LF","SOT-363_SC-70-6",134.2390,-99.0600,0.0000,top
"Y1","32Mhz","Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm",121.0310,-94.6150,0.0000,top
