Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",144.1450,-83.8200,270.0000,top
"C2","100n","C_0402_1005Metric",150.8760,-80.0100,90.0000,top
"C3","100n","C_0402_1005Metric",147.5740,-77.7240,90.0000,top
"C4","100n","C_0402_1005Metric",142.8750,-83.8200,270.0000,top
"C5","100n","C_0402_1005Metric",143.5100,-77.2160,180.0000,top
"C6","10n","C_0402_1005Metric",146.0500,-77.2160,0.0000,top
"C7","100n","C_0402_1005Metric",142.2400,-80.0100,270.0000,top
"C8","4,7µ","C_0603_1608Metric",139.0650,-97.3075,270.0000,top
"C9","100n","C_0402_1005Metric",141.0970,-97.0050,270.0000,top
"D1","LED","LED_0603_1608Metric",139.7000,-83.1850,90.0000,top
"J1","uFL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",144.7800,-100.9650,270.0000,top
"J2","Coax","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",144.7800,-100.9650,270.0000,top
"L1","27n","L_0402_1005Metric",142.8750,-97.7900,0.0000,top
"R1","10","R_0402_1005Metric",142.8750,-96.5200,0.0000,top
"R2","0","R_0402_1005Metric",144.7800,-97.1550,90.0000,top
"R3","1k","R_0402_1005Metric",141.6050,-83.8200,270.0000,top
"R4","4k7","R_0402_1005Metric",145.4150,-83.8200,90.0000,top
"R5","4k7","R_0402_1005Metric",146.6850,-83.8200,90.0000,top
"U1","MPU-9250","InvenSense_QFN-24_3x3mm_P0.4mm",144.7800,-80.0100,90.0000,top
"U2","AP2112K-1.8","SOT-23-5",148.5900,-80.6450,270.0000,top
"U3","SIM28ML","ublox_MAX",144.7800,-90.1700,0.0000,top
