Designator,Value,Mid X,Mid Y,Rotation,Layer
"C1","100n","144.1450","-83.8200","270.0000","top"
"C10","DNP","146.6850","-96.5200","0.0000","top"
"C11","DNP","146.6850","-97.7900","0.0000","top"
"C2","100n","150.8760","-80.0100","90.0000","top"
"C3","100n","147.5740","-77.7240","90.0000","top"
"C4","100n","142.8750","-83.8200","270.0000","top"
"C5","100n","143.5100","-77.2160","180.0000","top"
"C6","10n","146.0500","-77.2160","0.0000","top"
"C7","100n","142.2400","-80.0100","270.0000","top"
"C8","4,7µ","139.0650","-97.3075","270.0000","top"
"C9","100n","141.0970","-97.0050","270.0000","top"
"D1","LED","139.7000","-83.1850","90.0000","top"
"J1","uFL","144.7800","-100.9650","270.0000","top"
"J2","Coax","144.7800","-100.9650","270.0000","top"
"L1","27n","142.8750","-97.7900","0.0000","top"
"R1","10","142.8750","-96.5200","0.0000","top"
"R2","0","144.7800","-97.1550","90.0000","top"
"R3","1k","141.6050","-83.8200","270.0000","top"
"R4","4k7","145.4150","-83.8200","90.0000","top"
"R5","4k7","146.6850","-83.8200","90.0000","top"
"U1","MPU-9250","144.7800","-80.0100","180.0000","top"
"U2","AP2112K-1.8","148.5900","-80.6450","90.0000","top"
"U3","SIM28ML","144.7800","-90.1700","0.0000","top"
