Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µ","C_0603_1608Metric","63.5000","-80.0100","90.0000","top"
"C2","100n","C_0603_1608Metric","60.9600","-93.9800","90.0000","top"
"C3","100n","C_0603_1608Metric","55.8800","-93.9800","90.0000","top"
"C4","100n","C_0603_1608Metric","54.6100","-90.8050","270.0000","top"
"J1","Qwiic","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","58.4200","-77.3000","0.0000","top"
"J2","Qwiic","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","58.4200","-102.8700","180.0000","top"
"R3","4k7","R_0603_1608Metric","53.9750","-88.2650","0.0000","top"
"R4","4k7","R_0603_1608Metric","53.9750","-86.3600","0.0000","top"
"U1","ADS1015IDGS","TSSOP-10_3x3mm_P0.5mm","58.4200","-90.1700","180.0000","top"
"U2","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","58.4200","-93.9800","90.0000","top"
