Reference, Quantity, Value, Footprint, Datasheet
A1 ,1,"Sparkfun_Pro_Micro_3V3","Module:Sparkfun_Pro_Micro","https://www.sparkfun.com/products/12587"
C1 C4 ,2,"15p","Capacitor_SMD:C_0402_1005Metric","~"
C12 ,1,"1.2pF","Capacitor_SMD:C_0402_1005Metric","~"
C13 C14 ,2,"1nF","Capacitor_SMD:C_0402_1005Metric","~"
C15 C18 C9 ,3,"47p","Capacitor_SMD:C_0402_1005Metric","~"
C16 C17 C19 C20 C21 ,5,"100n","Capacitor_SMD:C_0402_1005Metric","~"
C2 ,1,"1.5pF","Capacitor_SMD:C_0402_1005Metric","~"
C22 ,1,"1µ","Capacitor_SMD:C_0402_1005Metric","~"
C23 ,1,"10µ","Capacitor_SMD:C_0603_1608Metric","~"
C24 C10 C11 ,3,"DNP","Capacitor_SMD:C_0402_1005Metric","~"
C25 ,1,"F","Capacitor_SMD:C_0402_1005Metric","~"
C3 ,1,"33pF","Capacitor_SMD:C_0402_1005Metric","~"
C5 ,1,"4.7pF","Capacitor_SMD:C_0402_1005Metric","~"
C6 ,1,"3.3pF","Capacitor_SMD:C_0402_1005Metric","~"
C7 ,1,"47pF","Capacitor_SMD:C_0402_1005Metric","~"
C8 ,1,"1.8pF","Capacitor_SMD:C_0402_1005Metric","~"
J1 ,1,"SMA","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~"
J2 ,1,"COAX","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","~"
JP1 ,1,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"33nH","Inductor_SMD:L_0402_1005Metric","~"
L2 L3 ,2,"10nH","Inductor_SMD:L_0402_1005Metric","~"
L4 ,1,"6.2nH","Inductor_SMD:L_0402_1005Metric","~"
L5 ,1,"0R","Inductor_SMD:L_0402_1005Metric","~"
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Logo2_9.8x8mm_SilkScreen","~"
R1 ,1,"1k","Resistor_SMD:R_0402_1005Metric","~"
TP2 TP3 TP4 ,3,"TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~"
TP5 TP6 ,2,"TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
U1 ,1,"SX1276","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm","https://www.semtech.com/uploads/documents/DS_SX1276-7-8-9_W_APP_V6.pdf"
U2 ,1,"AS179-92LF","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.skyworksinc.com/uploads/documents/AS179_92LF_200176H.pdf"
Y1 ,1,"32Mhz","Crystal:Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm","~"
