Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4,7µ","C_0603_1608Metric",125.730000,-106.197500,270.000000,top
"C2","100n","C_0402_1005Metric",127.635000,-105.895000,270.000000,top
"C3","DNP","C_0402_1005Metric",131.295000,-104.775000,0.000000,top
"C4","100n","C_0402_1005Metric",132.080000,-92.329000,0.000000,top
"C5","DNP","C_0402_1005Metric",131.295000,-107.950000,0.000000,top
"C6","10n","C_0402_1005Metric",127.254000,-91.059000,180.000000,top
"C7","100n","C_0402_1005Metric",127.254000,-89.789000,180.000000,top
"C8","100n","C_0402_1005Metric",127.254000,-92.329000,180.000000,top
"D1","LED","LED_0603_1608Metric",125.095000,-88.900000,270.000000,top
"J1","uFL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",130.810000,-111.125000,270.000000,top
"J2","Coax","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",130.810000,-111.125000,270.000000,top
"L1","27n","L_0402_1005Metric",129.540000,-107.465000,270.000000,top
"R1","1k","R_0402_1005Metric",125.095000,-92.075000,270.000000,top
"R2","10","R_0402_1005Metric",129.540000,-105.260000,90.000000,top
"R3","0","R_0402_1005Metric",130.810000,-106.362500,90.000000,top
"R4","4k7","R_0402_1005Metric",127.889000,-88.011000,90.000000,top
"R5","4k7","R_0402_1005Metric",126.619000,-88.011000,90.000000,top
"U1","MAX-8C","ublox_MAX",130.810000,-98.425000,0.000000,top
"U2","MPU-9250","InvenSense_QFN-24_3x3mm_P0.4mm",130.810000,-89.535000,0.000000,top
