Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4,7µ","C_0603_1608Metric","139.0650","-97.3075","270.0000","top"
"C2","100n","C_0402_1005Metric","141.0970","-97.0050","270.0000","top"
"C3","DNP","C_0402_1005Metric","146.6850","-96.5200","0.0000","top"
"C4","100n","C_0402_1005Metric","145.4150","-83.1850","270.0000","top"
"C5","DNP","C_0402_1005Metric","146.6850","-97.7900","0.0000","top"
"C6","10n","C_0402_1005Metric","144.1450","-83.1850","270.0000","top"
"C7","100n","C_0402_1005Metric","148.7170","-80.6450","0.0000","top"
"C8","100n","C_0402_1005Metric","141.6050","-80.0100","270.0000","top"
"C9","100n","C_0402_1005Metric","142.8750","-83.1850","270.0000","top"
"D1","LED","LED_0603_1608Metric","139.7000","-83.1850","90.0000","top"
"J1","uFL","U.FL_Hirose_U.FL-R-SMT-1_Vertical","144.7800","-100.9650","270.0000","top"
"J2","Coax","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","144.7800","-100.9650","270.0000","top"
"L1","27n","L_0402_1005Metric","142.8750","-97.7900","0.0000","top"
"R1","1k","R_0402_1005Metric","141.6050","-83.1850","270.0000","top"
"R2","10","R_0402_1005Metric","142.8750","-96.5200","0.0000","top"
"R3","0","R_0402_1005Metric","144.7800","-97.1550","90.0000","top"
"R4","4k7","R_0402_1005Metric","141.6050","-77.4700","90.0000","top"
"R5","4k7","R_0402_1005Metric","140.3350","-77.4700","90.0000","top"
"U1","SIM28ML","ublox_MAX","144.7800","-90.1700","0.0000","top"
"U2","MPU-9250","InvenSense_QFN-24_3x3mm_P0.4mm","144.7800","-79.3750","0.0000","top"
