Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µ","C_0603_1608Metric","74.8030","-104.1400","90.0000","top"
"C2","100n","C_0603_1608Metric","76.7080","-104.1400","270.0000","top"
"C3","4.7µ","C_0603_1608Metric","66.5480","-95.8850","180.0000","top"
"C4","10µ","C_0603_1608Metric","66.5480","-97.7900","180.0000","top"
"C5","100n","C_0603_1608Metric","69.0880","-104.1400","270.0000","top"
"C6","1µ","C_0603_1608Metric","75.4380","-95.8850","0.0000","top"
"C7","4.7µ","C_0603_1608Metric","75.4380","-97.7900","0.0000","top"
"D1","D","D_0603_1608Metric","72.8980","-104.1400","90.0000","top"
"F1","500mA","Fuse_0603_1608Metric","70.9930","-104.1400","90.0000","top"
"J1","JST","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","70.9930","-111.1250","0.0000","top"
"L1","6.8µ/2A","L_Bourns_SRN6045TA","68.5800","-91.6940","0.0000","top"
"R1","390k","R_0603_1608Metric","67.1830","-104.1400","270.0000","top"
"R2","390k","R_0603_1608Metric","65.2780","-104.1400","90.0000","top"
"R3","2k","R_0603_1608Metric","76.8350","-90.1700","90.0000","top"
"R4","200k","R_0603_1608Metric","70.9930","-101.6000","180.0000","top"
"R5","2.4M","R_0603_1608Metric","66.5480","-101.6000","180.0000","top"
"R6","390k","R_0603_1608Metric","66.5480","-99.6950","0.0000","top"
"R7","1.1M","R_0603_1608Metric","75.4380","-99.6950","180.0000","top"
"R8","200k","R_0603_1608Metric","75.4380","-101.6000","0.0000","top"
"U1","MCP73831-2-OT","SOT-23-5","74.1680","-90.1700","0.0000","top"
"U2","TPS61090","Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias","70.9930","-97.7900","270.0000","top"
