Ref,Val,Package,PosX,PosY,Rot,Side
"C1","15p","C_0402_1005Metric","66.0400","-87.6300","180.0000","top"
"C10","DNP","C_0402_1005Metric","73.8100","-67.9450","0.0000","top"
"C11","DNP","C_0402_1005Metric","69.2150","-67.9450","180.0000","top"
"C12","1.2pF","C_0402_1005Metric","69.2150","-74.2950","270.0000","top"
"C13","1nF","C_0402_1005Metric","73.8100","-69.2150","0.0000","top"
"C14","1nF","C_0402_1005Metric","68.5800","-71.5010","180.0000","top"
"C15","47p","C_0402_1005Metric","70.9930","-76.2000","90.0000","top"
"C16","100n","C_0402_1005Metric","69.8500","-76.2000","270.0000","top"
"C17","100n","C_0402_1005Metric","74.2950","-85.8750","90.0000","top"
"C18","47p","C_0402_1005Metric","66.6750","-79.3750","90.0000","top"
"C19","100n","C_0402_1005Metric","67.9450","-79.3750","270.0000","top"
"C2","1.5pF","C_0402_1005Metric","74.2950","-76.2000","90.0000","top"
"C20","100n","C_0402_1005Metric","67.3100","-81.2800","180.0000","top"
"C21","100n","C_0402_1005Metric","67.3100","-77.4700","180.0000","top"
"C22","1µ","C_0402_1005Metric","75.5650","-85.8750","270.0000","top"
"C23","10µ","C_0603_1608Metric","76.8350","-85.5725","270.0000","top"
"C24","DNP","C_0402_1005Metric","75.4380","-74.2950","90.0000","top"
"C25","F","C_0402_1005Metric","72.0090","-76.2000","90.0000","top"
"C3","33pF","C_0402_1005Metric","73.0250","-74.2950","270.0000","top"
"C4","15p","C_0402_1005Metric","65.4050","-81.1300","90.0000","top"
"C5","4.7pF","C_0402_1005Metric","67.9450","-74.2950","90.0000","top"
"C6","3.3pF","C_0402_1005Metric","73.8100","-71.5010","180.0000","top"
"C7","47pF","C_0402_1005Metric","73.8100","-72.5170","0.0000","top"
"C8","1.8pF","C_0402_1005Metric","68.5800","-72.5170","180.0000","top"
"C9","47p","C_0402_1005Metric","71.6050","-69.2150","180.0000","top"
"J1","SMA","U.FL_Hirose_U.FL-R-SMT-1_Vertical","71.1200","-64.3350","90.0000","top"
"J2","COAX","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","71.1200","-64.3350","90.0000","top"
"L1","33nH","L_0402_1005Metric","73.0250","-76.2000","90.0000","top"
"L2","10nH","L_0402_1005Metric","71.7550","-74.2950","270.0000","top"
"L3","10nH","L_0402_1005Metric","74.2950","-74.2950","90.0000","top"
"L4","6.2nH","L_0402_1005Metric","70.4850","-74.2950","90.0000","top"
"L5","0R","L_0402_1005Metric","71.6050","-67.9450","180.0000","top"
"R1","1k","R_0402_1005Metric","73.8100","-70.4850","180.0000","top"
"U1","SX1276","QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm","72.3900","-81.2800","0.0000","top"
"U2","AS179-92LF","SOT-363_SC-70-6","71.1200","-71.5010","90.0000","top"
"Y1","32Mhz","Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm","66.3550","-84.7090","90.0000","top"
